id_target,0s_ear,1s_ear,2s_ear,0s_mar,1s_mar,2s_mar,perclos,target
yloaDl_5,-0.2880585654014272,-0.27966453980672734,-0.2625399651287217,-0.44859131054228946,-0.4499651648879581,-0.4488772959865,-0.4592968189397033,5
yloaDl_10,-0.33955448616349926,-0.33077821763296217,-0.3427703829539362,-0.40359093319000156,-0.4021576631825172,-0.4035946564027794,-0.4218551136449751,10
C0Hrrw_10,-0.3662086791336091,-0.3493035139597353,-0.34038012945612206,-0.4223042190318238,-0.42125509401950667,-0.42085625187935216,-0.3236230926079307,10
Iz3KMx_0,1.315991306364654,1.3110249572073809,1.2415471544789018,-0.7137906363254707,-0.7174899718501689,-0.7638728755803741,-0.8367049671474617,0
Iz3KMx_5,-0.2620873881215574,-0.2737835009784371,-0.31762364800152276,-0.44446806722003324,-0.44592681509732673,-0.4420423090759437,-0.45210941915713765,5
Iz3KMx_10,-0.3248978814175985,-0.32492428871910944,-0.32111936739675817,-0.4168497442871313,-0.4159369543777187,-0.4167114287235406,-0.42277659581218263,10
mCmgkW_0,1.025720545216664,1.4133714689732,1.373875591427305,-0.5384134055889626,-0.6111314120456883,-0.7355649552929425,-0.9639289163447874,0
mCmgkW_5,-0.27901345115322296,-0.2918728171741181,-0.26758786399615603,-0.4445140695357104,-0.4374852994205547,-0.44139137819440694,-0.475460202752561,5
mCmgkW_10,-0.3184397729013943,-0.32888873656907225,-0.3205263469057368,-0.416531282245252,-0.41715730334691525,-0.41560986955549567,-0.42595204697299227,10
3bJRj9_0,1.2347549567557814,1.3375315120896625,1.2946964114087378,-0.6997036826388982,-0.7403793288753356,-0.7309791532708564,-0.847960357734546,0
3bJRj9_10,-0.3412608721734272,-0.340734707390818,-0.33754641555502846,-0.405097078523897,-0.40564253795056204,-0.4054106518871453,-0.4088064215386991,10
Y8biCC_0,1.2448598687805381,1.3001362154708016,1.300942903301755,-0.6518311441293885,-0.6294850602876682,-0.6652219432040121,-0.9497004199660134,0
Y8biCC_5,-0.2732860908271782,-0.27252752820972814,-0.2910786443672793,-0.4385912580687818,-0.4417039291803353,-0.4566470747968316,-0.4634935225305513,5
HQsotm_0,1.334671353367946,1.209624038367072,1.3237492710167182,-0.7101528153944403,-0.7379092236703224,-0.768211006362544,-0.8258858086622143,0
HQsotm_5,-0.300699151863058,-0.28657705288956525,-0.3042755993097449,-0.4331105204386126,-0.4352792108458661,-0.4371489354712638,-0.44306346947002734,5
HQsotm_10,-0.3487006980713161,-0.34227230581889223,-0.3159711281877818,-0.4074328635649422,-0.4086452909445431,-0.40908859318452345,-0.41200121138546103,10
S9Jc43_0,1.3675098334210227,1.265323932695213,1.2272236801243024,-0.6872642980804662,-0.718355505795026,-0.6856333784529185,-0.8844021319560644,0
S9Jc43_5,-0.287098050299231,-0.26320621874605027,-0.27197778603635775,-0.4452446846588981,-0.44618351492017255,-0.45260527367120174,-0.47017570031069306,5
S9Jc43_10,-0.3170232788116312,-0.3224125597177783,-0.3246018456758458,-0.41781257670351857,-0.4180914974484619,-0.4176223696556698,-0.42542919911209454,10
oW2Jt7_0,1.2409522430927786,1.2714603701756495,1.3249223725518606,-0.6300275188194115,-0.5829524726997518,-0.6824448037459776,-0.9709550952775737,0
oW2Jt7_5,-0.2703985867161685,-0.2876958554109335,-0.2819734239223418,-0.44700391116165233,-0.4449723408501844,-0.44181092144365364,-0.4636810784872502,5
oW2Jt7_10,-0.34354307889524155,-0.33338810377848216,-0.3361620163350119,-0.40234243871269615,-0.40484186506871517,-0.40280431097575653,-0.42122645347953047,10
mESg1h_0,1.2847308585282202,1.2264058627940242,1.3527251724690674,-0.7308263026237087,-0.6567257526162467,-0.7616803877414651,-0.8573147254049454,0
sUBRZN_5,-0.28117805791467887,-0.2640870613507959,-0.2534542319227467,-0.4563332082998117,-0.45433501526197634,-0.4561220087492874,-0.4695876975267111,5
rg76zJ_0,1.2681245127763963,1.2768358808929867,1.3273111261148083,-0.7754944185988936,-0.7715321746135072,-0.7507590610885737,-0.7872429327416082,0
rg76zJ_5,-0.2976756105005679,-0.2848920280214721,-0.27481082337755625,-0.43827412897907475,-0.43846947369226225,-0.4424591917327681,-0.4618451665690544,5
uPdzdy_0,1.4193697749609977,1.3831818372627283,1.0487576600902513,-0.7422749078249276,-0.7445718737586277,-0.7406529584946655,-0.8119047661178783,0
uPdzdy_5,-0.2785597923082471,-0.2729635423108267,-0.2791855764614797,-0.44890485975463706,-0.4477146439104641,-0.4478645830478565,-0.4618666035224968,5
uPdzdy_10,-0.3679028838686379,-0.3884212136722642,-0.3740603225733691,-0.42744741760703303,-0.4281720050704682,-0.4280407182547379,-0.2266423098357787,10
qATxKd_10,-0.3443062279184302,-0.320977289622556,-0.31123360187550414,-0.41415065664702044,-0.417215260937534,-0.4130988930933474,-0.42230713700156214,10
O7nxDg_0,1.2902894513263623,1.3081523682918876,1.272840505108989,-0.719485942260895,-0.7547466735213376,-0.7709385395443316,-0.8130555847003375,0
O7nxDg_5,-0.29472046617948905,-0.2920705413674393,-0.233009170182542,-0.4542857313094993,-0.4552987579706809,-0.4508062049515277,-0.4558713382574357,5
O7nxDg_10,-0.33823801202122716,-0.3258324778758967,-0.32872838372224905,-0.41196494125775596,-0.41267463088273043,-0.4111032665586469,-0.4152953326625802,10
p8CDjE_0,1.3117962074651406,1.2884558878243475,1.2333643637708045,-0.5820507107798449,-0.6163427771941555,-0.6711670614366325,-0.9820279548248293,0
p8CDjE_10,-0.3681846747866277,-0.36271222472911496,-0.3583324391003613,-0.411676833131486,-0.4091353336389958,-0.4104181995828217,-0.3241721305477706,10
cariHr_0,1.2912493070252258,1.361272818088363,1.2167174269773136,-0.7443771110002355,-0.7411937488086979,-0.7600504191298241,-0.8118091365760723,0
cariHr_5,-0.25448428914234034,-0.2618172583520776,-0.2502206769219724,-0.46345779106379065,-0.46242515817189594,-0.46547208447484506,-0.47517969649050984,5
cariHr_10,-0.3233649489770981,-0.3158723290070464,-0.31213165814022353,-0.42098799223461136,-0.42122357344157785,-0.4218694928273465,-0.42711867758781585,10
XDOz1C_10,-0.34086160481989247,-0.341900375224015,-0.343709943251656,-0.405937279250702,-0.4005273914898984,-0.39843425041318337,-0.4132547227843538,10
qgw83F_0,1.1059311535775118,1.359789801813907,1.3594752793890512,-0.6618636240365314,-0.6113933171292586,-0.5962823282059063,-0.9778284827043865,0
qgw83F_5,-0.28090280298539655,-0.28280491203999114,-0.27801706482706423,-0.45890058488876223,-0.44586942639146926,-0.42555579586488657,-0.46549534845729246,5
qgw83F_10,-0.36180807754054906,-0.35680599345905306,-0.347036041445949,-0.4192502342286517,-0.4186817152535502,-0.419771577730956,-0.32073523514705793,10
3t3UX8_0,1.2600923007102893,1.3184780794622961,1.2762069874436435,-0.6634439927623449,-0.6726382177471717,-0.6806727662461979,-0.9190111954302571,0
3t3UX8_5,-0.25975863385937414,-0.27782705774827055,-0.26566407066939396,-0.4551161172988724,-0.45485181512901873,-0.45578565362218315,-0.4664191815134089,5
3t3UX8_10,-0.331674980056863,-0.3260053560072863,-0.33660690150360284,-0.4096161108526671,-0.4100889537338544,-0.41099178989835816,-0.418889412782511,10
