id_target,0s_ear,1s_ear,2s_ear,3s_ear,4s_ear,0s_mar,1s_mar,2s_mar,3s_mar,4s_mar,perclos,target
yloaDl_5,0.055304324534360585,0.05801531875467506,0.06354599321517827,0.06342506010183781,0.061105466428701107,0.00345752714993414,0.0030138173769959603,0.00336516325640034,0.0036035725653913806,0.0034467035111417407,0.0,5
yloaDl_10,0.023275714783998605,0.02614850582405977,0.022223035111176043,0.013001337165969708,0.0243104059876968,0.002314262816686283,0.002783424080515272,0.002313044074088403,0.0,0.001563212442660185,0.016409019358824113,10
C0Hrrw_10,0.018294597855479492,0.023807927419606214,0.026718136168815836,0.0241498343048426,0.02564494255962171,0.0,0.0003421541219728395,0.00047222964268599016,0.0004687579956493258,0.00018670261410276665,0.0188339583758677,10
Iz3KMx_0,0.9701529513675046,0.967914772971539,0.9366032980547393,0.9504278627153626,1.0,0.05539364855115744,0.05372647361266538,0.032823148094552015,0.05611769273014894,0.043712871890214985,0.0,0
Iz3KMx_5,0.06149280655660669,0.05770784119520775,0.043520782644091524,0.06634701331730898,0.05902421905193261,0.0024728089366192,0.00200074524724376,0.0032578056840736006,0.00327909652247214,0.00459343352631876,0.0,5
Iz3KMx_10,0.03192398644556611,0.03191537347653895,0.03315638136546059,0.03093244801177089,0.03215725618783273,0.00193309371624819,0.00223080801374357,0.0019782065296376004,0.00239727864803967,0.0023597907618793,0.0,10
mCmgkW_0,0.8369364990008682,1.0,0.983386248624777,0.9506858543593496,0.9602017179618169,0.17899105783340374,0.14840257734274875,0.09606020444963626,0.10623387588821226,0.08585713222234007,0.0,0
mCmgkW_5,0.06310963770848237,0.058978493140642144,0.0667801726509986,0.05691570129637642,0.05957815617793038,0.0099416215330305,0.012199653961117642,0.0109448039100393,0.01307310106915812,0.0117939050399632,0.0,5
mCmgkW_10,0.03503104043605811,0.03162642387559391,0.03435116589196402,0.03414471605713526,0.03180561619537222,0.00306959547610613,0.00286561717952963,0.0033698220825274005,0.00358497079739724,0.00470805091434837,0.0,10
3bJRj9_0,0.9218961002851885,0.967389262458549,0.9484286719264091,1.0,0.8230071506438579,0.0656245477531206,0.04761982124006463,0.05178072848046976,0.05365589709065737,0.05053262760276539,0.0,0
