id_target,0s_ear,1s_ear,2s_ear,3s_ear,4s_ear,5s_ear,6s_ear,7s_ear,8s_ear,9s_ear,0s_mar,1s_mar,2s_mar,3s_mar,4s_mar,5s_mar,6s_mar,7s_mar,8s_mar,9s_mar,perclos,target
yloaDl_5,0.055304324534360585,0.05801531875467506,0.06354599321517827,0.06342506010183781,0.061105466428701107,0.060810490711688404,0.06387584603754234,0.06137219884395204,0.06281225631661601,0.06320074909857551,0.00345752714993414,0.0030138173769959603,0.00336516325640034,0.0036035725653913806,0.0034467035111417407,0.00384461917503482,0.0038265916248673803,0.00407007914019128,0.0036186882889483202,0.00404775952531524,0.0,5
yloaDl_10,0.024442846286377898,0.027312204500028008,0.023391424507545135,0.014180745981370549,0.02547630109131203,0.02815337546295977,0.02918746280009223,0.020637603369774615,0.028277137481266704,0.02257472044146475,0.0035064420948780206,0.003975042736944042,0.003505224808610142,0.0011949446942656735,0.0027562891845114923,0.002907275862410421,0.0024336670071076795,1.7122030799272044e-05,0.0010789405735203606,0.0,0.007559706755759356,10
C0Hrrw_10,0.018372350399573443,0.02388524329970799,0.026795221556008438,0.024227123105404924,0.025722112945361978,0.02319292665020107,0.022002184576054285,0.020576087548232487,0.019604257867962254,0.018220053939375945,7.92015037546891e-05,0.00042132852660655253,0.0005513937451428611,0.0005479223730658624,0.00026588933072966376,0.0007461699663892133,0.0,0.0020252391157062457,0.0024794534969878896,0.0023484891093325634,0.01891166820179737,10
Iz3KMx_0,0.8667668230865583,0.8647671602756196,0.8367924501007616,0.8491437746775232,0.8934331662494912,0.9621308231088803,0.9999999999999999,0.9205600210964692,0.9033132386336289,0.9488882257936915,0.04949052281517213,0.048001013431183376,0.02932528912839156,0.050137407898513016,0.03905452953873316,0.02921017136597348,0.02387044640187039,0.0349529920004919,0.04132152656124262,0.03000153376680977,0.0,0
Iz3KMx_5,0.06149280655660669,0.05770784119520775,0.043520782644091524,0.06634701331730898,0.05902421905193261,0.06666697237652514,0.05334581868494126,0.05900982249723648,0.05999158360742488,0.06107215329791735,0.0024728089366192,0.00200074524724376,0.0032578056840736006,0.00327909652247214,0.00459343352631876,0.00465217360269182,0.0046349421917340605,0.0041957195018592,0.0032945392863110603,0.0066296980058626,0.0,5
Iz3KMx_10,0.03192398644556611,0.03191537347653895,0.03315638136546059,0.03093244801177089,0.03215725618783273,0.03344443907352998,0.02839860155549689,0.02861292901179044,0.03254264993030923,0.033825403580455674,0.00193309371624819,0.00223080801374357,0.0019782065296376004,0.00239727864803967,0.0023597907618793,0.00217746299994994,0.00245693348990902,0.00247911555565432,0.00227702207568334,0.00237510196289014,0.0,10
mCmgkW_0,0.8298841374471778,0.9915736001929544,0.9750998429291138,0.9426749952596151,0.9521106743908586,1.0,0.9614647805135159,0.9906162484592499,0.9410334279541628,0.9329006095726765,0.17748280761821345,0.14715207789366275,0.09525076276139707,0.10533870677692612,0.08513366569994826,0.12029572906581375,0.13209233365290884,0.16853119249906948,0.13308440265289695,0.0753167412619219,0.0,0
mCmgkW_5,0.06310963770848237,0.058978493140642144,0.0667801726509986,0.05691570129637642,0.05957815617793038,0.06232471288606406,0.0551042908934012,0.05027862533754386,0.0595703478778328,0.054884692620555266,0.0099416215330305,0.012199653961117642,0.0109448039100393,0.01307310106915812,0.0117939050399632,0.01157938393343488,0.01062303991162958,0.011774924181306861,0.0111045147099745,0.012553476993006622,0.0,5
mCmgkW_10,0.03503104043605811,0.03162642387559391,0.03435116589196402,0.03414471605713526,0.03180561619537222,0.03775021196883426,0.03651859622118134,0.03505960946948524,0.03636038660162164,0.03204365770648978,0.00306959547610613,0.00286561717952963,0.0033698220825274005,0.00358497079739724,0.00470805091434837,0.0038423746436224305,0.00314729915264676,0.00256793830955941,0.0018196798735320302,0.00246836664212239,0.0,10
3bJRj9_0,0.9112102459352384,0.9561760891355031,0.9374352740300658,0.98840883007679,0.8134675349127282,0.9180107062076137,0.9707541820620185,0.9274382911028607,1.0,0.9667811163388733,0.06486388246898037,0.047067851800358156,0.05118052925790504,0.0530339624700973,0.04994689532955545,0.04753600001194524,0.04944254539332548,0.07346999502804413,0.1511587404506073,0.07608675641893636,0.0,0
3bJRj9_10,0.02212210932349637,0.022294435627041684,0.02333864566322226,0.02591937652432985,0.023398522352878093,0.02333675300565794,0.0251482659610469,0.02474705724683689,0.021301290980679594,0.022089347500727344,0.00121486156324002,0.00103621599470726,0.00111216191407139,0.00123898790564968,0.0011670073512078701,0.0011111162483893801,0.00114466448726266,0.00115750133695171,0.00112274593030047,0.00104506306970842,0.0,10
Y8biCC_0,0.9233958115872941,0.9466542052050833,0.9469936318174123,1.0,0.9556778134234053,0.9304109440243581,0.9564051220356633,0.954729742936165,0.9883742695305026,0.9806413886982396,0.12533319003287832,0.13473565681888244,0.11969880038192142,0.09351617597375371,0.15960674684994136,0.07740548452924081,0.08774569990947673,0.09351551094967042,0.08704404757743912,0.07905554241850263,0.0,0
Y8biCC_5,0.06134097927860241,0.06158561206388226,0.05560296658244858,0.05302982680558166,0.056805799144707736,0.051239492277803445,0.055073680294845245,0.0455093741916636,0.05216977768695211,0.05328821984371243,0.00803086017544178,0.007027038755610681,0.0022079463709970804,0.007437963659273759,0.0034061409609283406,0.00291789406610086,0.0043583057463498,0.0050239917376660405,0.00427778992226716,0.0044349303084898995,0.0,5
HQsotm_0,1.0,0.9421226537309599,0.9949447843624906,0.9787873976744227,0.997756541565697,0.9773476405681184,0.975599569885608,0.9827548550064134,0.9707038188186609,0.9994261794650602,0.053566272303124746,0.040719397078679866,0.02669441166068305,0.024589972803008068,0.03148287651510651,0.024522978512862115,0.029056533836155612,0.04825621381338817,0.08789559212743121,0.03956810141681644,0.0,0
HQsotm_5,0.04617394711005338,0.05075425952292356,0.04501397459712982,0.047126028842212384,0.042797801416326046,0.0495283969047152,0.052596013599086826,0.04953766928681242,0.0479873350536721,0.04871666948526704,0.00322810483617352,0.0025247193401038,0.00191829936482728,0.00239999721236078,0.0033458278465288804,0.0029779227496789604,0.0030927100260332604,0.0027481700180731,0.0019203755017912602,0.002273881522501,0.0,5
HQsotm_10,0.01977855416543705,0.0218840142766545,0.030498311321062104,0.022790907051918982,0.025129093656041577,0.02050805052931662,0.02400519802203755,0.017870074348523595,0.018285909108846306,0.017933500681727194,0.0005422930854406334,0.0001451926308852936,0.0,0.0003154889790622981,0.0008450637499603948,0.0006038153182401872,0.0008720806651038341,0.0006708509031080889,0.0010210904684747476,0.0007123951667055101,0.02907466296945419,10
S9Jc43_0,0.9185488660169414,0.8768675104942824,0.8613265194022488,0.9850493362192636,0.979179042517239,1.0,0.925983877101714,0.973055763790756,0.8160830155117257,0.9422175806461722,0.08041199502447897,0.06772997457767879,0.0810772427772693,0.07635679201797727,0.07699324169772902,0.081865457444106,0.08780017882760133,0.0663822950103688,0.05623420926596194,0.06266992910356076,0.0,0
S9Jc43_5,0.05893056906269152,0.06662107213224021,0.06379760650463821,0.06710065969926048,0.06417052726852933,0.06536667101617773,0.06550609566754904,0.06711025536286157,0.06468937179079025,0.06538178682692145,0.00802500436060416,0.0077228058041626,0.005655716251954681,0.00502180785048656,0.00539263911902908,0.0054278994917028,0.00524162347950646,0.00564077026676678,0.006358837487766201,0.0059242852296008805,0.0,5
S9Jc43_10,0.03532952824245003,0.03357315966541571,0.03285967058777154,0.03197477023131761,0.0320866406998132,0.0319515837076796,0.03631262030375801,0.03308562168190844,0.03305993565913439,0.034226387062837635,0.0024822599702122804,0.00239135959956308,0.00254424851521298,0.00268462604153999,0.00226556176732891,0.0021111433795928903,0.00348331230483566,0.00285123356494926,0.00274303815607749,0.0017612952057030002,0.0,10
oW2Jt7_0,0.9142224917023227,0.9268320687289185,0.9489289098469489,0.9578008058566932,0.9205810886321897,0.9352191652157885,1.0,0.9791945047573984,0.9477016651796063,0.9367808657439958,0.14091171589007503,0.16036870905337142,0.11924667594805725,0.11800341766040806,0.12974609100599832,0.1448602157423039,0.18519856810637567,0.10808799788507308,0.1453368901120837,0.16113793980822114,0.0,0
oW2Jt7_5,0.06232471946515064,0.05674714537121062,0.05859236649764056,0.05580737885295428,0.06028335256523681,0.06359581882613186,0.06775518688252351,0.06811189969305011,0.06156150454085105,0.06232094677953076,0.00537761990502636,0.006032707950382961,0.0070521203959606595,0.007274047307052601,0.00647545424133096,0.00789853201231754,0.008707988583462941,0.010754412389220161,0.00743156802175298,0.0067212277447396,0.0,5
oW2Jt7_10,0.02534088883714149,0.02865351649981492,0.02774864579723362,0.03109626110307976,0.03341151963891792,0.028618285374317733,0.030876282799145983,0.03202511924058344,0.02891935461469849,0.03097031009666461,0.006160104675757331,0.00534477339305442,0.00600943854239476,0.005868005351085771,0.00540760163948687,0.0056769594287956505,0.00602878539716773,0.00581850565443688,0.005979348616051421,0.00698006777826824,0.0,10
mESg1h_0,0.9334833042170034,0.9080658200398326,0.9631145862595292,0.9080491428776446,0.9719024930531868,1.0,0.9268525863552537,0.9313709868512917,0.8860629426695481,0.9739166979975792,0.05512246411965717,0.08741478636718474,0.04167654422871311,0.05118172743291394,0.0803211726008647,0.06513613748906077,0.07079153327832267,0.07854918195530544,0.07162298283202256,0.07095478700092174,0.0,0
sUBRZN_5,0.06068558997565714,0.06619049520177453,0.06961526438174002,0.06359545214809008,0.061884045311155156,0.05322773405032936,0.06342957868958014,0.06341139858687976,0.06254214898894755,0.06286762786625956,0.00426918973050788,0.00491279545915314,0.00433721581108718,0.007101541336151621,0.0031093904660775603,0.00333161654038638,0.00387775276878492,0.0068047268751227396,0.00268463814685272,0.00367125723676296,0.0,5
rg76zJ_0,0.9605630008003362,0.9646342036976068,0.9882234909183092,0.9401337162398509,0.9919852663308256,0.9769992396948637,1.0,0.9570559640082428,0.989775474876679,0.9941466648060221,0.005490593920070045,0.007342323634289848,0.017050507106295448,0.013394178266189407,0.01528538283865819,0.016242109857671504,0.01873405000021851,0.007564818289874314,0.01684284542775,0.009374441488628628,0.0,0
rg76zJ_5,0.052953282101986576,0.057076657138751465,0.0603283737555305,0.0606421795207872,0.05936735990495498,0.058244128801079424,0.058250391397275385,0.05741804297513872,0.05579847122409431,0.05652843843003687,0.00760289442713744,0.00753988552370692,0.0062529924482444006,0.006139418142474481,0.006919994695283361,0.006778118314234841,0.007612076519632641,0.008351705298312721,0.0067997427772924605,0.00642331335636958,0.0,5
uPdzdy_0,0.9705836203453075,0.9548422048729499,0.8093708060669035,0.925091861718827,0.9140431706672129,0.8549117390534473,0.8053206701908785,1.0,0.9356585465402391,0.7300267963087247,0.030288339109281266,0.02928918034567051,0.03099387194443887,0.040057017925317025,0.037225941820299306,0.0313746437244387,0.0315593713122991,0.029269319131304965,0.036459742446027475,0.03529263347153589,0.0,0
uPdzdy_5,0.059151718723744966,0.06095758618476508,0.05894978292022196,0.06025214138032592,0.05745808121372083,0.0549349758713398,0.056543742857309065,0.06131127836105892,0.05442930493891915,0.05415613750662952,0.00418265647875768,0.004566730111203221,0.00451834588793314,0.005271205601300621,0.004713721286543321,0.0046293679918504,0.004226608986053821,0.00466492005873926,0.00399991191826586,0.0041616607888129405,0.0,5
uPdzdy_10,0.019797978652030736,0.013113083073815281,0.017791878001327907,0.018554678145145536,0.01805436249026808,0.016213613208596538,0.01573341803930949,0.015910240398959274,0.01597832655615286,0.0160135375154751,0.0003983007004486653,0.00016222926692038972,0.00020500266331051364,0.00025555679230315266,0.0001293992960063274,0.0002484895731729396,0.00026117448263006425,0.0004324593213652604,0.00012875682132539815,0.0,0.08917531610537513,10
qATxKd_10,0.025443960616494413,0.03305387945208418,0.03623227839909108,0.03742749541870858,0.038259969873593175,0.03299856912247629,0.036238565072564004,0.03742569406064595,0.03646528641524442,0.03600943855790954,0.00266065059176406,0.0016609741547899501,0.00300373672693972,0.00303704805047587,0.00633492730914111,0.00941130834041313,0.00217495831322796,0.00259410200661795,0.0029609234771411103,0.0035688701936920303,0.0,10
