id_target,0s_ear,1s_ear,2s_ear,3s_ear,4s_ear,0s_mar,1s_mar,2s_mar,3s_mar,4s_mar,perclos,target
yloaDl_5,-0.20220226346884454,-0.19215380947901417,-0.1716540505962196,-0.17210229604659452,-0.1807000016871886,-0.3943753614908065,-0.396019996955094,-0.39471771350599755,-0.39383403586692617,-0.3944154799224849,-0.40719088216745053,5
yloaDl_10,-0.2608251653558459,-0.2503091380960479,-0.2646785636646215,-0.29843515285648586,-0.2570376149382103,-0.3375558419763462,-0.3358384484830965,-0.3375603032581461,-0.3460273425231078,-0.340305107793665,-0.28596112382581107,10
C0Hrrw_10,-0.2805217209213791,-0.2603350491719247,-0.249679522768255,-0.2590831809531166,-0.2536089463335313,-0.34750611526990244,-0.3462533418110239,-0.3457770793622197,-0.34578979055576325,-0.346822516667312,-0.2785468899860881,10
Iz3KMx_0,1.1929845829930743,1.1881113465468909,1.1199361639862178,1.1500367013152386,1.2579712370815377,-0.7987415376796403,-0.8023715153825205,-0.8478847988388021,-0.7971650599117963,-0.8241743569072947,-0.9193513816014516,0
Iz3KMx_5,-0.17457360405333333,-0.18858792102299282,-0.24111731466821643,-0.1566002844360562,-0.18371386412299395,-0.39310267241166147,-0.394850548426656,-0.3901961218389208,-0.39011728979440335,-0.38525078941246826,-0.4022585628714832,5
Iz3KMx_10,-0.24097274268241145,-0.2410043532812588,-0.2364497098801964,-0.2446118041458397,-0.24011661557655928,-0.35104280982779823,-0.349950163703149,-0.3508772405516947,-0.34933919709871736,-0.34947678200437693,-0.358137488771375,10
mCmgkW_0,0.9155235722685731,1.296971097114689,1.258107253877806,1.181612609904071,1.2038726656228165,-0.6235802644536096,-0.6951345981976531,-0.8175768888532211,-0.7937780511914252,-0.8414445025318272,-1.0422864467801094,0
mCmgkW_5,-0.18814765622288782,-0.20353905599947061,-0.17447234910970208,-0.21122439680747018,-0.20130489222558737,-0.38623566279004284,-0.3778229144007153,-0.3824981075532778,-0.3745687136815719,-0.37933461261215556,-0.4232751488040493,5
mCmgkW_10,-0.234005320130445,-0.2465158856241989,-0.23650357943817316,-0.23726219766549206,-0.24585742755329693,-0.3514504841732273,-0.35220002051404703,-0.3503472748819911,-0.3495566918484911,-0.3454298343571046,-0.362729984980778,10
3bJRj9_0,1.1544037187046092,1.257163928835696,1.2143356404905716,1.330825245881965,0.9310328040589774,-0.7797472715510669,-0.8204164488833428,-0.8110177682479842,-0.8067821268634657,-0.8138369855178005,-0.9279803684540796,0
3bJRj9_10,-0.26122660422421046,-0.2605965493319632,-0.2567787361003559,-0.24734313589793652,-0.2565598165246841,-0.3376671328247179,-0.3383202920471738,-0.3380426205770781,-0.3375789227270456,-0.3378420961343531,-0.3421088776748955,10
Y8biCC_0,1.1029473224827981,1.1571897764085481,1.1579813758922866,1.2816010691163389,1.1782343361090077,-0.7582678452929817,-0.7363397242107872,-0.7714081818985156,-0.8324704298531209,-0.6783361932162365,-1.0505657527686694,0
Y8biCC_5,-0.17937213512154948,-0.17846486645033102,-0.20065268077007645,-0.21019567437801337,-0.19619174026608482,-0.37708316909392975,-0.38080603773833055,-0.3986785871566996,-0.37928204212633404,-0.39423484748286763,-0.40686718938286714,5
HQsotm_0,1.2187501426421121,1.0962410728922838,1.208049759762475,1.1738493939830528,1.2140014106506478,-0.7845676152425346,-0.8117606162074175,-0.8414473248693313,-0.8459017939046033,-0.831311573791211,-0.8979514279577381,0
